"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"8-5154","ＨＭ－１２１０Ｋ",,"発注計画",75.0,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
"8-5155","ＨＭ－１２２２Ｓ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5155","ＨＭ－１２２２Ｓ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5155","ＨＭ－１２２２Ｓ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5155","ＨＭ－１２２２Ｓ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5155","ＨＭ－１２２２Ｓ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5155","ＨＭ－１２２２Ｓ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5155","ＨＭ－１２２２Ｓ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5156","ＨＭ－１２０８Ｎ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5156","ＨＭ－１２０８Ｎ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5156","ＨＭ－１２０８Ｎ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5156","ＨＭ－１２０８Ｎ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5156","ＨＭ－１２０８Ｎ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5156","ＨＭ－１２０８Ｎ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5156","ＨＭ－１２０８Ｎ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5157","ＨＭ－１２２０ＫＤ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5157","ＨＭ－１２２０ＫＤ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5157","ＨＭ－１２２０ＫＤ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5157","ＨＭ－１２２０ＫＤ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5157","ＨＭ－１２２０ＫＤ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5157","ＨＭ－１２２０ＫＤ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5157","ＨＭ－１２２０ＫＤ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5158","ＨＭ－１６１８",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5158","ＨＭ－１６１８",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5158","ＨＭ－１６１８",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5158","ＨＭ－１６１８",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5158","ＨＭ－１６１８",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5158","ＨＭ－１６１８",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5158","ＨＭ－１６１８",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5159","ＨＭ－１２２５Ｋ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5159","ＨＭ－１２２５Ｋ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5159","ＨＭ－１２２５Ｋ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5159","ＨＭ－１２２５Ｋ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5159","ＨＭ－１２２５Ｋ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5159","ＨＭ－１２２５Ｋ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5159","ＨＭ－１２２５Ｋ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5199","試作材",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5199","試作材",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5199","試作材",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5199","試作材",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5199","試作材",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5199","試作材",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5199","試作材",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5201","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"実在庫",120.0,120.0,120.0,120.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
"8-5201","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"実使用",40.0,,,,20.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
"8-5201","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"発注",440.0,,,,,,,,,,,,,,,,,,,,,,,440.0,,,,,,,,
"8-5201","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5201","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",-11.3,"予定在庫",133.5,133.5,133.5,118.6,103.6,88.7,83.5,76.7,76.7,76.7,66.5,66.5,56.2,56.2,56.2,56.2,46.0,46.0,31.1,16.1,16.1,16.1,16.1,441.2,295.3,280.4,134.5,119.6,119.6,119.6,-11.3,-11.3
"8-5201","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"使用計画",584.8,,,14.9,14.9,14.9,5.1,6.8,,,10.2,,10.2,,,,10.2,,14.9,14.9,,,,14.9,145.8,14.9,145.8,14.9,,,130.9,
"8-5201","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"発注計画",440.0,,,,,,,,,,,,,,,,,,,,,,,440.0,,,,,,,,
"8-5201-02","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5201-02","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5201-02","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5201-02","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5201-02","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5201-02","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5201-02","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HD9100(BK)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5202","ｼﾞｭﾗﾌｧｲﾄﾞ1140A1 HD9050(BK)",,"実在庫",280.0,280.0,280.0,260.0,420.0,420.0,400.0,400.0,400.0,380.0,360.0,320.0,320.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
"8-5202","ｼﾞｭﾗﾌｧｲﾄﾞ1140A1 HD9050(BK)",,"実使用",180.0,,,20.0,40.0,,20.0,,,20.0,20.0,40.0,,20.0,,,,,,,,,,,,,,,,,,
"8-5202","ｼﾞｭﾗﾌｧｲﾄﾞ1140A1 HD9050(BK)",,"発注",600.0,,,,200.0,,,,,,,,,200.0,,,,,,,,,,200.0,,,,,,,,
"8-5202","ｼﾞｭﾗﾌｧｲﾄﾞ1140A1 HD9050(BK)",,"納入",400.0,,,,200.0,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,
"8-5202","ｼﾞｭﾗﾌｧｲﾄﾞ1140A1 HD9050(BK)",330.2,"予定在庫",566.3,566.3,751.2,732.9,714.6,696.3,681.3,681.3,681.3,666.2,647.9,629.6,611.3,796.3,796.3,796.3,781.2,762.9,744.6,729.5,729.5,729.5,729.5,864.1,784.6,686.8,589.1,508.5,508.5,508.5,428.0,330.2
"8-5202","ｼﾞｭﾗﾌｧｲﾄﾞ1140A1 HD9050(BK)",,"使用計画",836.1,,15.1,18.3,18.3,18.3,15.1,,,15.1,18.3,18.3,18.3,15.1,,,15.1,18.3,18.3,15.1,,,,65.5,79.5,97.8,97.8,80.5,,,80.5,97.8
"8-5202","ｼﾞｭﾗﾌｧｲﾄﾞ1140A1 HD9050(BK)",,"発注計画",600.0,,200.0,,,,,,,,,,,200.0,,,,,,,,,,200.0,,,,,,,,
"8-5203","ベスタキープ　３３００Ｇ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5203","ベスタキープ　３３００Ｇ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5203","ベスタキープ　３３００Ｇ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5203","ベスタキープ　３３００Ｇ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5203","ベスタキープ　３３００Ｇ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5203","ベスタキープ　３３００Ｇ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5203","ベスタキープ　３３００Ｇ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5204","ｶﾙﾌﾟPPS T524A1",,"実在庫",,,898.0,848.0,798.0,798.0,673.0,673.0,673.0,898.0,823.0,673.0,573.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0
"8-5204","ｶﾙﾌﾟPPS T524A1",,"実使用",800.0,,100.0,50.0,50.0,,125.0,,,75.0,75.0,150.0,100.0,75.0,,,,,,,,,,,,,,,,,,
"8-5204","ｶﾙﾌﾟPPS T524A1",,"発注",1500.0,,1000.0,,,,,,,300.0,,,,,,,,,,,,,,200.0,,,,,,,,
"8-5204","ｶﾙﾌﾟPPS T524A1",,"納入",1298.0,,998.0,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,
"8-5204","ｶﾙﾌﾟPPS T524A1",-1338.4,"予定在庫",-1018.4,-1018.4,-183.5,-248.6,-313.6,-378.7,-443.8,-443.8,-443.8,-547.4,-651.0,-749.7,-853.3,-952.0,-952.0,-952.0,-1023.1,-1094.2,-1160.3,-1226.4,-1226.4,-1226.4,-1226.4,-1097.5,-1168.6,-1234.7,-1305.8,-1338.4,-1338.4,-1338.4,-1338.4,-1338.4
"8-5204","ｶﾙﾌﾟPPS T524A1",,"使用計画",1420.0,,65.1,65.1,65.1,65.1,65.1,,,103.6,103.6,98.7,103.6,98.7,,,71.1,71.1,66.1,66.1,,,,71.1,71.1,66.1,71.1,32.5,,,,
"8-5204","ｶﾙﾌﾟPPS T524A1",,"発注計画",1100.0,,900.0,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,
"8-5204-02","ｶﾙﾌﾟPPS T524A1",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5204-02","ｶﾙﾌﾟPPS T524A1",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5204-02","ｶﾙﾌﾟPPS T524A1",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5204-02","ｶﾙﾌﾟPPS T524A1",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5204-02","ｶﾙﾌﾟPPS T524A1",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5204-02","ｶﾙﾌﾟPPS T524A1",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5204-02","ｶﾙﾌﾟPPS T524A1",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5205","ｼﾞｭﾗﾈｯｸｽHS531",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5205","ｼﾞｭﾗﾈｯｸｽHS531",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5205","ｼﾞｭﾗﾈｯｸｽHS531",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5205","ｼﾞｭﾗﾈｯｸｽHS531",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5205","ｼﾞｭﾗﾈｯｸｽHS531",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5205","ｼﾞｭﾗﾈｯｸｽHS531",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5205","ｼﾞｭﾗﾈｯｸｽHS531",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5206","ｱﾐﾗﾝ　CM1011G30（BK)",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5206","ｱﾐﾗﾝ　CM1011G30（BK)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5206","ｱﾐﾗﾝ　CM1011G30（BK)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5206","ｱﾐﾗﾝ　CM1011G30（BK)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5206","ｱﾐﾗﾝ　CM1011G30（BK)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5206","ｱﾐﾗﾝ　CM1011G30（BK)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5206","ｱﾐﾗﾝ　CM1011G30（BK)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5207","ｱﾐﾗﾝ　CM1011G30（ﾅﾁｭﾗﾙ）",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5207","ｱﾐﾗﾝ　CM1011G30（ﾅﾁｭﾗﾙ）",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5207","ｱﾐﾗﾝ　CM1011G30（ﾅﾁｭﾗﾙ）",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5207","ｱﾐﾗﾝ　CM1011G30（ﾅﾁｭﾗﾙ）",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5207","ｱﾐﾗﾝ　CM1011G30（ﾅﾁｭﾗﾙ）",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5207","ｱﾐﾗﾝ　CM1011G30（ﾅﾁｭﾗﾙ）",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5207","ｱﾐﾗﾝ　CM1011G30（ﾅﾁｭﾗﾙ）",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5208","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HF2000(N)",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5208","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HF2000(N)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5208","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HF2000(N)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5208","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HF2000(N)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5208","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HF2000(N)",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5208","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HF2000(N)",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5208","ｼﾞｭﾗﾌｧｲﾄﾞ1140A6 HF2000(N)",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"実在庫",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
"8-5209","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"実使用",15.0,,,,,,,,,3.0,12.0,,,,,,,,,,,,,,,,,,,,,
"8-5209","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209-02","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"実在庫",25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
"8-5209-02","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209-02","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209-02","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209-02","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209-02","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5209-02","ﾌﾟﾗｲﾑ ﾎﾟﾘﾌﾟﾛ J707G",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5210","ｼﾞｭﾗｺﾝ M270-44 CF2001",,"実在庫",20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
"8-5210","ｼﾞｭﾗｺﾝ M270-44 CF2001",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5210","ｼﾞｭﾗｺﾝ M270-44 CF2001",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5210","ｼﾞｭﾗｺﾝ M270-44 CF2001",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5210","ｼﾞｭﾗｺﾝ M270-44 CF2001",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5210","ｼﾞｭﾗｺﾝ M270-44 CF2001",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5210","ｼﾞｭﾗｺﾝ M270-44 CF2001",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211","ｱｻｸﾘﾝ U",,"実在庫",20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
"8-5211","ｱｻｸﾘﾝ U",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211","ｱｻｸﾘﾝ U",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211","ｱｻｸﾘﾝ U",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211","ｱｻｸﾘﾝ U",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211","ｱｻｸﾘﾝ U",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211","ｱｻｸﾘﾝ U",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-01","ｱｻｸﾘﾝ IMX",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-01","ｱｻｸﾘﾝ IMX",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-01","ｱｻｸﾘﾝ IMX",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-01","ｱｻｸﾘﾝ IMX",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-01","ｱｻｸﾘﾝ IMX",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-01","ｱｻｸﾘﾝ IMX",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-01","ｱｻｸﾘﾝ IMX",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-02","ｱｻｸﾘﾝ NEW EX",,"実在庫",25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
"8-5211-02","ｱｻｸﾘﾝ NEW EX",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-02","ｱｻｸﾘﾝ NEW EX",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-02","ｱｻｸﾘﾝ NEW EX",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-02","ｱｻｸﾘﾝ NEW EX",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-02","ｱｻｸﾘﾝ NEW EX",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-02","ｱｻｸﾘﾝ NEW EX",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-03","ｱｻｸﾘﾝ SN",,"実在庫",20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
"8-5211-03","ｱｻｸﾘﾝ SN",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-03","ｱｻｸﾘﾝ SN",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-03","ｱｻｸﾘﾝ SN",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-03","ｱｻｸﾘﾝ SN",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-03","ｱｻｸﾘﾝ SN",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-03","ｱｻｸﾘﾝ SN",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-04","ｱｻｸﾘﾝ RU",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-04","ｱｻｸﾘﾝ RU",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-04","ｱｻｸﾘﾝ RU",,"発注",20.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-04","ｱｻｸﾘﾝ RU",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-04","ｱｻｸﾘﾝ RU",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-04","ｱｻｸﾘﾝ RU",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5211-04","ｱｻｸﾘﾝ RU",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5212","ﾕﾋﾟﾀｰﾙ F20-03 ER002(BK)",,"実在庫",23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
"8-5212","ﾕﾋﾟﾀｰﾙ F20-03 ER002(BK)",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5212","ﾕﾋﾟﾀｰﾙ F20-03 ER002(BK)",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5212","ﾕﾋﾟﾀｰﾙ F20-03 ER002(BK)",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
