"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"5-5310","モーターシャフト（G27SK）",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5310","モーターシャフト（G27SK）",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5310","モーターシャフト（G27SK）",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5310","モーターシャフト（G27SK）",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5310","モーターシャフト（G27SK）",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5311","シャフト（-5000）　　　　　φ1.5X12.6",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5311","シャフト（-5000）　　　　　φ1.5X12.6",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5311","シャフト（-5000）　　　　　φ1.5X12.6",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5311","シャフト（-5000）　　　　　φ1.5X12.6",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5311","シャフト（-5000）　　　　　φ1.5X12.6",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5311","シャフト（-5000）　　　　　φ1.5X12.6",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5311","シャフト（-5000）　　　　　φ1.5X12.6",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5401","ＳＨＡＦＴ　Ｌ３５",,"実在庫",,,,3000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0
"5-5401","ＳＨＡＦＴ　Ｌ３５",,"実使用",9000.0,,6000.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5401","ＳＨＡＦＴ　Ｌ３５",,"発注",36000.0,,6000.0,6000.0,6000.0,,,,,,,,,,,,,,,,,,,6000.0,6000.0,6000.0,,,,,,
"5-5401","ＳＨＡＦＴ　Ｌ３５",,"納入",18000.0,,6000.0,6000.0,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
